"taxon","isocode","glottocode","xd_ids","soc_ids","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mMeB","mMyB","mFeB","mFyB","mF","mMeZ","mMyZ","mFeZ","mFyZ","mM"
"KESUKUMA",,"suku1261","xd90","Ad22",1,7,8,15,9,1,1,"maarrub","maarrub","baba","baba","þaaþå","mayu","mayu","sèèngi","sèèngi","maayu"
"GUSII",,"gusi1247","xd79","Ad12",1,8,7,15,9,,1,"maamé","maamé","taatámoke","taatámoke","taata",,,,,"baabá"
"J31c_BUKUSU",,"buku1249","xd111","Ad41",1,7,8,15,9,2,1,"khóóchá","khóóchá","paapa","ómuro","paapa","maayi","ómuro","seenge","seenge","maayi"
"MASABA",,"masa1299","xd126","Ad9",1,7,8,15,9,4,1,,,"paapa umu-khulu","paapa umu-keehe","baba",,,"senge umu-khulu","senge umu-keehe","mai"
"MASHI_DRC",,"shii1238","xd131","Ae13",1,1,3,15,9,5,1,"nyaama-lume","nyaama-lume","mulåarhaa","mulåarhaa","låarhaa","nyama","nyama","nyåamashenge","nyåamashenge","mubuguma"
"SHI",,"shii1238","xd131","Ae13",1,1,3,15,9,5,1,"nyaama-lume","nyaama-lume","mulåarhaa","mulåarhaa","låarhaa","nyama","nyama","nyåamashenge","nyåamashenge","mubuguma"
"J53_SHI_2",,"shii1238","xd131","Ae13",1,1,3,15,9,5,1,"nyaama-lume","nyaama-lume","mulåarhaa","mulåarhaa","låarhaa","nyama","nyama","nyåamashenge","nyåamashenge","mubuguma"
"J62_RUNDI",,"rund1242","xd184","Ae8",1,1,3,1,1,5,1,"mårúme","mårúme","dåtá-wåcu","dåtá-wåcu","dåtá","måmá-wåcu","måmá-wåcu","sengé","sengé","måmá"
"HA",,"haaa1252","xd132","Ae14",1,1,3,15,9,5,1,"marume; marume","marume; marume","baba mkubwa","baba mdogo","data; data","mamamuto","mamamuto","senge; senge","senge; senge","mama"
"KIRUNDI",,"rund1242","xd184","Ae8",1,1,3,1,1,5,1,"mårúme","mårúme","dåtá-wåcu","dåtá-wåcu","dåtá","måmá-wåcu","måmá-wåcu","sengé","sengé","måmá"
"SOGA_2",,"soga1242","xd116","Ad46",1,7,8,15,9,6,1,"kogya; kogya","kogya; kogya","kogya","lata omuto","lata","songa; songa","mukaire omuto","songa","songa","mukaire"
"J15_GANDA",,"gand1255","xd124","Ad7, SCCS12",1,8,7,15,9,5,1,"kojja","kojja",,"kitange omuto","kitange",,"mmange omuto","senga","senga","mmange"
"LUGANDA",,"gand1255","xd124","Ad7, SCCS12",1,8,7,15,9,5,1,"kojja","kojja",,"kitange omuto","kitange",,"mmange omuto","senga","senga","mmange"
"ZINZA_2",,"zinz1238","xd119","Ad49",1,,,,,,1,"maami","maami","maami","maami","tata","maha omuto","maha omuto","maha omuto","maha omuto","maaha"
"KIKEREWE",,"kere1283","xd113","Ad43",1,8,7,15,9,4,1,"joomba","joomba",,,"táta",,,"iséénkázi","iséénkázi","mááwe"
"J24_KEREBE",,"kere1283","xd113","Ad43",1,8,7,15,9,4,1,"joomba","joomba",,,"táta",,,"iséénkázi","iséénkázi","mááwe"
"HAYA_2",,"haya1250","xd112","Ad42",1,8,7,15,9,6,1,"malûmi","malûmi","tá:t'ento","tá:t'ento","tâ:ta","má:'énto","má:'énto","tát'énkåzi","tát'énkåzi","mâ:we"
"HAYA",,"haya1250","xd112","Ad42",1,8,7,15,9,6,1,"malûmi","malûmi","tá:t'ento","tá:t'ento","tâ:ta","má:'énto","má:'énto","tát'énkåzi","tát'énkåzi","mâ:we"
"ZIBA",,"haya1250","xd112","Ad42",1,8,7,15,9,6,1,"malûmi","malûmi","tá:t'ento","tá:t'ento","tâ:ta","má:'énto","má:'énto","tát'énkåzi","tát'énkåzi","mâ:we"
"RUNYORO_RUTOORO",,"nyor1246","xd87","Ad2",1,8,7,15,9,6,1,"ongundwe; ongundwe","ongundwe; ongundwe","isento","isento","ise; ise","nyinento","nyinento","isenkati","isenkati","mama; mama"
"RUTOORO",,"toor1238","xd118","Ad48",1,,,,,,1,"nyinarumi","nyinarumi","sento","sento","ise","nyinento","nyinento","senkati","senkati","nyina"
"CHINGONI",,"ngon1269","xd75","Ac9",1,1,3,15,9,5,1,"malume","malume",,,"atata",,,,,"amama"
"NGONI",,"ngon1269","xd75","Ac9",1,1,3,15,9,5,1,"malume","malume",,,"atata",,,,,"amama"
"HEHE",,"hehe1240","xd125","Ad8",1,1,3,2,2,5,1,"yaya muvina","yaya mudodo","dada muvina","dada mudodo","dada","yuva muvina","yuva mudodo","yuvahenge muvina","yuvahenge mudodo","yuva"
"KAMBA_KENYA",,"kamb1297","xd103","Ad34",1,,,,,,1,"mwendw'au; mthomba; mama","mwendw'au; mthomba; mama","mwendw'au; mthomba","mwendw'au; mthomba","nau","ukulu; mwaendia","ukulu; mwaendia","ukulu","ukulu","mwaitu; maiitu; mwaitu"
"KAMBA_KENYA_2",,"kamb1297","xd103","Ad34",1,,,,,,1,"mwendw'au; mthomba; mama","mwendw'au; mthomba; mama","mwendw'au; mthomba","mwendw'au; mthomba","nau","ukulu; mwaendia","ukulu; mwaendia","ukulu","ukulu","mwaitu; maiitu; mwaitu"
"GIKUYU",,"kiku1240","xd104, xd109","Ad35, Ad4, SCCS11",1,7,8,15,9,6,1,"mama","mama","baba m'uk'ur'u","baba munyinyi","baba","tata","tata","tata","tata","maiitu"
"GIKUYU_2",,"kiku1240","xd104, xd109","Ad35, Ad4, SCCS11",1,7,8,15,9,6,1,"mama","mama","baba m'uk'ur'u","baba munyinyi","baba","tata","tata","tata","tata","maiitu"
"PARE",,"asut1235","xd105","Ad36",1,,,,,,1,"abu ṃbaha","abu ṃdori","vava ṃkulu","vava ṃdori","vava","ṃkúlú","ṃdódo","éngå ṃbaha","éngå ṃdori","mchékú"
"PARE_TANZANIA",,"asut1235","xd105","Ad36",1,,,,,,1,"abu ṃbaha","abu ṃdori","vava ṃkulu","vava ṃdori","vava","ṃkúlú","ṃdódo","éngå ṃbaha","éngå ṃdori","mchékú"
"PARE_SUD",,"asut1235","xd105","Ad36",1,,,,,,1,"abu ṃbaha","abu ṃdori","vava ṃkulu","vava ṃdori","vava","ṃkúlú","ṃdódo","éngå ṃbaha","éngå ṃdori","mchékú"
"PARE_2",,"asut1235","xd105","Ad36",1,,,,,,1,"abu ṃbaha","abu ṃdori","vava ṃkulu","vava ṃdori","vava","ṃkúlú","ṃdódo","éngå ṃbaha","éngå ṃdori","mchékú"
"KAGULU",,"kagu1239","xd121","Ad50",1,12,5,15,9,5,1,"baba mkulu","baba mdodo","baba mkulu","baba mdodo","baba","mai mkulu","mai mdodo","mai mkulu","mai mdodo","mai"
"KAGURU",,"kagu1239","xd121","Ad50",1,12,5,15,9,5,1,"baba mkulu","baba mdodo","baba mkulu","baba mdodo","baba","mai mkulu","mai mdodo","mai mkulu","mai mdodo","mai"
"GOGO",,"gogo1263","xd92","Ad24",1,1,3,2,2,5,1,"kuku","kuku","baba","baba","soga","yaya","yaya","nyinahenga","nyinahenga","yaya"
"NGULU",,"ngul1246","xd122","Ad51",1,8,7,15,9,5,1,,,"tate mkulu","tate mdodo","tate","mame mkulu","mame mdodo","mame mkulu","mame mdodo","mame"
"ZIGULA",,"zigu1242","xd96","Ad28",1,,,,,,1,"mtumba","mtumba","tate mkulu","tate mdodo","tate","mame mkulu","mame mdodo","mame sangazi","mame sangazi","mame"
"LUGURU",,"lugu1238","xd81","Ad14, SCCS10",1,1,3,2,2,1,1,"mkolo; mtumba; mjomba","mkolo; mtumba; mjomba","baba mkulu","baba mdodo","baba","mai mkulu","mai mdodo","mai shangazi; mama shangazi","mai shangazi; mama shangazi","mai; mama"
"NGHWELE",,"kwer1261","xd95","Ad27",1,1,3,15,9,5,1,"mtumba mkulu","mtumba mdodo","tata mkulu","tata mdodo","tata","mama mkulu","mama mdodo","mama sangazi","mama sangazi","mama"
"NGHWELE_2",,"kwer1261","xd95","Ad27",1,1,3,15,9,5,1,"mtumba mkulu","mtumba mdodo","tata mkulu","tata mdodo","tata","mama mkulu","mama mdodo","mama sangazi","mama sangazi","mama"
"LOWER_POKOMO",,"poko1261","xd102","Ad33",1,8,7,15,9,4,1,,"mumechwe","mmétje","mmétje","baba","ndugu ya baba","ndugu ya baba","ndugu ya baba","ndugu ya baba","måma"
"UPPER_POKOMO",,"poko1261","xd102","Ad33",1,8,7,15,9,4,1,,"mumechwe","mmétje","mmétje","baba","ndugu ya baba","ndugu ya baba","ndugu ya baba","ndugu ya baba","måma"
"BUU",,"poko1261","xd102","Ad33",1,8,7,15,9,4,1,,"mumechwe","mmétje","mmétje","baba","ndugu ya baba","ndugu ya baba","ndugu ya baba","ndugu ya baba","måma"
"DIGO",,"digo1243","xd99","Ad30",1,8,7,15,9,,1,"aphu","aphu","baba mvyere","baba mdide","baba","mayo mvyere","mayo mdide","shangazi","shangazi","mayo"
"DIGO_1",,"digo1243","xd99","Ad30",1,8,7,15,9,,1,"aphu","aphu","baba mvyere","baba mdide","baba","mayo mvyere","mayo mdide","shangazi","shangazi","mayo"
