"taxon","isocode","glottocode","xd_ids","soc_ids","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mMeB","mMyB","mFeB","mFyB","mF","mMeZ","mMyZ","mFeZ","mFyZ","mM"
"MODOLE_2",,"modo1249","","",0,,,,,,1,"èmama","èmama","èmama","èmama","ngoa ngowea","òa","òa","òa","òa","jai eha"
"LODA",,"lolo1264","","",0,,,,,,1,"èpé","èpé","àma riáka","djòdjo","àma","ōa","ōa","ngina riaka","djòdjo","ina-ngina"
"LOLODA",,"lolo1264","","",0,,,,,,1,"èpé","èpé","àma riáka","djòdjo","àma","ōa","ōa","ngina riaka","djòdjo","ina-ngina"
"GALELA",,"gale1259","","",0,,,,,,1,"o èpe; o èpé","o èpe; o èpé","o babaria","o bàbadòdo","bàba; o bàba","o mèměria","o mèmědòdo","o ōa","o ōa","mème; maäwa; o awa"
"GALELA_2",,"gale1259","","",0,,,,,,1,"o èpe; o èpé","o èpe; o èpé","o babaria","o bàbadòdo","bàba; o bàba","o mèměria","o mèmědòdo","o ōa","o ōa","mème; maäwa; o awa"
"MEIDOB_NUBIAN",,"mido1240","xd460","Cb11",1,6,4,15,9,,1,"tízzí","tízzí","ánɟí","ánɟí",,"éŋéʃí","éŋéʃí","áɲɲí","áɲɲí",
"CAR",,"carn1240","xd691","Eh5, SCCS78",1,12,5,15,9,3,1,,,,,,"yðη kikānð; kahaem ap yðη","yðη kikānð; kahaem ap yðη","yðη kikānð","yðη kikānð",
"JAHAI",,"jeha1242","","",0,,,,,,1,"toj","bɛh","toj","bɛh","ʔɛj","toj bɨʔ","mɔʔ","toj bɨʔ","mɔʔ","bɨʔ; maʔ"
"PACOH",,"paco1243","","",0,,,,,,1,"ʔm.pɨːt","ʔa.ɲiː","ʔm.pɨːt","ʔa.ɲiː","ʔa.ʔam",,,,,"ʔa.ʔiː"
"BIT",,"bitt1240","","",0,,,,,,1,"ʔoiŋ mɨih hân","ʔoiŋ mɨih hân","ʔoiŋ diŋ","ʔoiŋ diŋ","ʔoiŋ","meʔ sâi","meʔ sâi","meʔ mɨih","meʔ mɨih",
"YURACARE",,"yura1255","","",0,,,,,,1,"choo","choo","choo","choo","tata","lëlë","lëlë","lëlë","lëlë","meme"
"YURACARE_YURUJURE",,"yura1255","","",0,,,,,,1,"choo","choo","choo","choo","tata","lëlë","lëlë","lëlë","lëlë","meme"
"LOWER_PINLANG_PUYUMA",,"puyu1239","xd734","Ia11",1,7,8,15,9,3,1,,,,,"ama",,,,,"ina; taina"
"NANWANG_PUYUMA",,"puyu1239","xd734","Ia11",1,7,8,15,9,3,1,,,,,"ama",,,,,"ina; taina"
"PILAM_PUYUMA",,"puyu1239","xd734","Ia11",1,7,8,15,9,3,1,,,,,"ama",,,,,"ina; taina"
"THAO",,"thao1240","","",0,,,,,,1,,,"pan-amá-n","pan-amá-n","ama",,,,,"ina"
"CIULI_ATAYAL",,"atay1247","xd732","Ia1, SCCS113",1,7,8,15,9,4,1,,,,,"yabá",,,,,"yayá"
"SQULIQ_ATAYAL",,"atay1247","xd732","Ia1, SCCS113",1,7,8,15,9,4,1,,,,,"yabá",,,,,"yayá"
"SKIKUN_ATAYAL",,"atay1247","xd732","Ia1, SCCS113",1,7,8,15,9,4,1,,,,,"yabá",,,,,"yayá"
"ATAYAL",,"atay1247","xd732","Ia1, SCCS113",1,7,8,15,9,4,1,,,,,"yabá",,,,,"yayá"
"MAYRINAX_ATAYAL",,"atay1247","xd732","Ia1, SCCS113",1,7,8,15,9,4,1,,,,,"yabá",,,,,"yayá"
"SAAROA",,"saar1237","","",0,,,,,,1,"tamalengale","tamalengale","tamalengale","tamalengale","ama'a","tavanau","tavanau","tavanau","tavanau","ina'a"
"PAIWAN",,"paiw1248","xd746","Ia6",1,7,8,15,9,4,1,"kama","kama","kama","kama","kama","kina","kina","kina","kina","kina"
"STIMUL_PAIWAN",,"paiw1248","xd746","Ia6",1,7,8,15,9,4,1,"kama","kama","kama","kama","kama","kina","kina","kina","kina","kina"
"TJUBAR_PAIWAN",,"paiw1248","xd746","Ia6",1,7,8,15,9,4,1,"kama","kama","kama","kama","kama","kina","kina","kina","kina","kina"
"BUTANGLU_PAIWAN",,"paiw1248","xd746","Ia6",1,7,8,15,9,4,1,"kama","kama","kama","kama","kama","kina","kina","kina","kina","kina"
"TAKITUDUH_BUNUN",,"bunu1267","xd733","Ia10",1,7,8,15,9,4,1,,,,,"tama",,,,,"tina"
"TAKBANUAZ_BUNUN",,"bunu1267","xd733","Ia10",1,7,8,15,9,4,1,,,,,"tama",,,,,"tina"
"BUNUN",,"bunu1267","xd733","Ia10",1,7,8,15,9,4,1,,,,,"tama",,,,,"tina"
"ISKUBUN",,"bunu1267","xd733","Ia10",1,7,8,15,9,4,1,,,,,"tama",,,,,"tina"
"FARANG_AMIS",,"amis1246","xd749","Ia9",1,7,8,15,9,3,1,,,,,"ama",,,,,"ina"
"FATAAN_AMIS",,"amis1246","xd749","Ia9",1,7,8,15,9,3,1,,,,,"ama",,,,,"ina"
"C_AMIS",,"amis1246","xd749","Ia9",1,7,8,15,9,3,1,,,,,"ama",,,,,"ina"
"CHAMORRO",,"cham1312","xd839","If8",1,7,8,15,9,3,1,"tio","tio","tio","tio","tata","tía","tía","tía","tía","-nana; madre"
"BILAAN_SARANGANI",,"sara1326","","",0,,,,,,1,"faq","faq","faq","faq","maq","bong yéq; kalyéq","bong yéq; kalyéq","bong yéq; kalyéq","bong yéq; kalyéq","yéq"
"BOANO",,"boan1243","","",0,,,,,,1,"pogiamangan","pogiamangan","pogiamangan","pogiamangan","iamang",,,,,"inang"
"TOTOLI",,"toto1304","","",0,,,,,,1,"poguamangan; amang dako","poguamangan; amang ddek","poguamangan; amang dako","poguamangan; amang ddek","amang ko-","poguinangan; poginangan; inang dako","poguinangan; poginangan; inang ddek","poguinangan; poginangan; inang dako","poguinangan; poginangan; inang ddek","inang ko-"
"LAUJE_AMPIBABO",,"lauj1238","","",0,,,,,,1,"posiamao; uma dee'i; madee'i","posiamao; uma dee'i; madee'i","posiamao; uma dee'i; madee'i","posiamao; uma dee'i; madee'i","siama","posinao -nye; dee'i","posinao -nye; dee'i","posinao -nye; dee'i","posinao -nye; dee'i","siina; si'inag"
"LAUJE",,"lauj1238","","",0,,,,,,1,"posiamao; uma dee'i; madee'i","posiamao; uma dee'i; madee'i","posiamao; uma dee'i; madee'i","posiamao; uma dee'i; madee'i","siama","posinao -nye; dee'i","posinao -nye; dee'i","posinao -nye; dee'i","posinao -nye; dee'i","siina; si'inag"
"DONDO",,"dond1249","","",0,,,,,,1,"ponsiamaan; ponsiamaun; si uma; uma déije","ponsiamaan; ponsiamaun; si uma; uma dee'i","ponsiamaan; ponsiamaun; si uma; uma déije","ponsiamaan; ponsiamaun; si uma; uma dee'i","siuma; si'uma; siama","ponsinaan; ponsinaun; poguinangan; ina déide","ponsinaan; ponsinaun; poguinangan; ina dee'i","ponsinaan; ponsinaun; poguinangan; ina déide","ponsinaan; ponsinaun; poguinangan; ina dee'i","siina"
"TOMINI",,"tomi1243","","",0,,,,,,1,"ponsiamaan","ponsiamaan","ponsiamaan","ponsiamaan","siama -nyo","ponsinaan; si' aia","ponsinaan; si' aia","ponsinaan; si' aia","ponsinaan; si' aia","siina -nyo"
"BALAESANG",,"bala1314","","",0,,,,,,1,"posiamaong","posiamaong","posiamaong","posiamaong","siamang","posinaong","posinaong","posinaong","posinaong","sinang"
"DAMPELAS",,"damp1237","","",0,,,,,,1,"posiamaung; posiamaong","posiamaung; posiamaong","posiamaung; posiamaong","posiamaung; posiamaong","siamang","posinaung; posinaong","posinaung; posinaong","posinaung; posinaong","posinaung; posinaong","sinang; sina -nya"
"PENDAU",,"pend1242","","",0,,,,,,1,"posiamao; posiama' -onyo","posiamao; posiama' -onyo","posiamao; posiama' -onyo","posiamao; posiama' -onyo","siama","posinao; posina' -onyo","posinao; posina' -onyo","posinao; posina' -onyo","posinao; posina' -onyo","sina; siina -nyo"
"TAJIO",,"taji1246","","",0,,,,,,1,"posiamaong; posiamao","posiamaong; posiamao","posiamaong; posiamao","posiamaong; posiamao","siama","posinaong; posinao","posinaong; posinao","posinaong; posinao","posinaong; posinao","siina"
"TAJE_PETAPA",,"taje1237","","",0,,,,,,1,"ropomangge; posiamao; posiamaong; posiamao; posiama' -onyo","ropomangge; posiamao; posiamaong; posiamao; posiama' -onyo","ropomangge; posiamao; posiamaong; posiamao; posiama' -onyo","ropomangge; posiamao; posiamaong; posiamao; posiama' -onyo","siama; siuma; siama","posinao; posinaong; posinao; posina' -onyo","posinao; posinaong; posinao; posina' -onyo","posinao; posinaong; posinao; posina' -onyo","posinao; posinaong; posinao; posina' -onyo","siina; sina; siina -nyo"
"TAJE_TANAMPEDAGI",,"taje1237","","",0,,,,,,1,"ropomangge; posiamao; posiamaong; posiamao; posiama' -onyo","ropomangge; posiamao; posiamaong; posiamao; posiama' -onyo","ropomangge; posiamao; posiamaong; posiamao; posiama' -onyo","ropomangge; posiamao; posiamaong; posiamao; posiama' -onyo","siama; siuma; siama","posinao; posinaong; posinao; posina' -onyo","posinao; posinaong; posinao; posina' -onyo","posinao; posinaong; posinao; posina' -onyo","posinao; posinaong; posinao; posina' -onyo","siina; sina; siina -nyo"
"WOLIO",,"woli1241","","",0,,,,,,1,"pinoama","pinoama","pinoama","pinoama","ama","pinoina","pinoina","pinoina","pinoina","ina"
"MORONENE_TOKOTUA",,"moro1287","","",0,,,,,,1,"topisa","topisa","topisa","topisa","tama","topisa","topisa","topisa","topisa","tina"
"MORONENE",,"moro1287","","",0,,,,,,1,"topisa","topisa","topisa","topisa","tama","topisa","topisa","topisa","topisa","tina"
"MORI_BAWAH",,"mori1268","","",0,,,,,,1,"maama","maama","maama","maama","ama","naine","naine","naine","naine","ine"
"MORI_BAWAH_WATU",,"mori1268","","",0,,,,,,1,"maama","maama","maama","maama","ama","naine","naine","naine","naine","ine"
"KORONI",,"koro1311","","",0,,,,,,1,"lakiˀama","lakiˀama","lakiˀama","lakiˀama","ua","lakiˀina","lakiˀina","lakiˀina","lakiˀina","indo"
"KULISUSU",,"kuli1254","","",0,,,,,,1,"pinoli","pinoli","pinoli","pinoli","tama","pinoli","pinoli","pinoli","pinoli","tʃina"
"WAWONII",,"wawo1239","","",0,,,,,,1,"maama","maama","maama","maama","tama","naina","naina","naina","naina","tina"
"WAWONII_MENUI",,"wawo1239","","",0,,,,,,1,"maama","maama","maama","maama","tama","naina","naina","naina","naina","tina"
"MORI_ATAS",,"mori1269","","",0,,,,,,1,"lakiama","lakiama","lakiama","lakiama","uma","lakine","lakine","lakine","lakine","ine"
"PADOE",,"pado1242","","",0,,,,,,1,"maama","maama","maama","maama","uma","naine","naine","naine","naine","ine"
"TOMADINO",,"toma1248","","",0,,,,,,1,"lakiˀama","lakiˀama","lakiˀama","lakiˀama","uma","aɸo","aɸo","aɸo","aɸo","ine"
"TOLAKI",,"tola1247","","",0,,,,,,1,"pinoli","pinoli","pinoli","pinoli","tama","pinoli","pinoli","pinoli","pinoli","tina"
"RAHAMBUU",,"raha1237","","",0,,,,,,1,"maama","maama","maama","maama","ama","naina","naina","naina","naina","ina"
"WARU",,"waru1266","","",0,,,,,,1,"maama","maama","maama","maama","ama","naina","naina","naina","naina","ina"
"TOLAKI_LAIWUI",,"tola1247","","",0,,,,,,1,"pinoli","pinoli","pinoli","pinoli","tama","pinoli","pinoli","pinoli","pinoli","tina"
"WARU_LALOMERUI",,"waru1266","","",0,,,,,,1,"maama","maama","maama","maama","ama","naina","naina","naina","naina","ina"
"KODEOHA",,"kode1237","","",0,,,,,,1,"lakiama","lakiama","lakiama","lakiama","ama","lakiina","lakiina","lakiina","lakiina","ina"
"TOLAKI_MEKONGGA",,"tola1247","","",0,,,,,,1,"pinoli","pinoli","pinoli","pinoli","tama","pinoli","pinoli","pinoli","pinoli","tina"
"TOLAKI_ASERA",,"tola1247","","",0,,,,,,1,"pinoli","pinoli","pinoli","pinoli","tama","pinoli","pinoli","pinoli","pinoli","tina"
"TOLAKI_KONAWE",,"tola1247","","",0,,,,,,1,"pinoli","pinoli","pinoli","pinoli","tama","pinoli","pinoli","pinoli","pinoli","tina"
"TOLAKI_WIWIRANO",,"tola1247","","",0,,,,,,1,"pinoli","pinoli","pinoli","pinoli","tama","pinoli","pinoli","pinoli","pinoli","tina"
"TUKANG_BESI_SOUTHERN",,"tuka1249","","",0,,,,,,1,,,,,"ama",,,,,"ina"
"KADATUA",,"muna1247","","",0,,,,,,1,"fokomau","fokomau","fokomau","fokomau","ama","fokoinau","fokoinau","fokoinau","fokoinau","ina"
"MUNA",,"muna1247","","",0,,,,,,1,"fokomau","fokomau","fokomau","fokomau","ama","fokoinau","fokoinau","fokoinau","fokoinau","ina"
"TOMBULU",,"tomb1243","","",0,,,,,,1,"ito'; tua'","ito'","ito'; tua'","ito'","ama'","mui; tua'","mui","mui; tua'","mui","ina'"
"TONSEA",,"tons1240","","",0,,,,,,1,"ito","ito","ito","ito","ama'; bu'","mui","mui","mui","mui","ina'; ci'"
"PALAUAN",,"pala1344","xd824","If1, SCCS111",1,7,8,15,9,4,1,"desik; kladesióil","desik; kladesióil","desik; kladesióil","desik; kladesióil","chadám; uadám",,,,,"chadíl; uadíl"
"KAPAMPANGAN",,"pamp1243","","",0,,,,,,1,"bápa","bápa","bápa","bápa","tatá; ibpá ó táta","dára","dára","dára","dára","indá"
"IVASAY_IVATAN",,"ivat1242","","",0,,,,,,1,"maran; maraanen","maran; maraanen","maran; maraanen","maran; maraanen","ama","kamnan; kamnanen","kamnan; kamnanen","kamnan; kamnanen","kamnan; kamnanen","ina"
"ISAMORONG_IVATAN",,"ivat1242","","",0,,,,,,1,"maran; maraanen","maran; maraanen","maran; maraanen","maran; maraanen","ama","kamnan; kamnanen","kamnan; kamnanen","kamnan; kamnanen","kamnan; kamnanen","ina"
"IMOROD",,"ivat1242","","",0,,,,,,1,"maran; maraanen","maran; maraanen","maran; maraanen","maran; maraanen","ama","kamnan; kamnanen","kamnan; kamnanen","kamnan; kamnanen","kamnan; kamnanen","ina"
"YAMI_2",,"yami1254","xd737","Ia14",1,8,7,15,9,3,1,"maran","maran","maran",,"ama","kaminan","kaminan","kaminan","kaminan","ina"
"IRARALAY_IVATAN",,"ivat1242","","",0,,,,,,1,"maran; maraanen","maran; maraanen","maran; maraanen","maran; maraanen","ama","kamnan; kamnanen","kamnan; kamnanen","kamnan; kamnanen","kamnan; kamnanen","ina"
"IVATAN_BATANES_ISLANDS",,"ivat1242","","",0,,,,,,1,"maran; maraanen","maran; maraanen","maran; maraanen","maran; maraanen","ama","kamnan; kamnanen","kamnan; kamnanen","kamnan; kamnanen","kamnan; kamnanen","ina"
"YAMI",,"yami1254","xd737","Ia14",1,8,7,15,9,3,1,"maran","maran","maran",,"ama","kaminan","kaminan","kaminan","kaminan","ina"
"ITBAYATEN_BATANES_ISLANDS",,"ivat1242","","",0,,,,,,1,"maran; maraanen","maran; maraanen","maran; maraanen","maran; maraanen","ama","kamnan; kamnanen","kamnan; kamnanen","kamnan; kamnanen","kamnan; kamnanen","ina"
"DUPANINGAN_AGTA",,"dupa1235","","",0,,,,,,1,,,,,"hama; name; amang",,,,,"hena; inang; nena"
"CASIGURAN_NEGRITO",,"casi1235","xd906","B12",0,,,,,,1,"amay","amay","amay","amay","'ama","'dada","'dada","'dada","'dada","'ina"
"DUMAGAT_CASIGURAN",,"casi1235","xd906","B12",0,,,,,,1,"amay","amay","amay","amay","'ama","'dada","'dada","'dada","'dada","'ina"
"ISNEG",,"isna1241","","",0,,,,,,1,"ulitag","ulitag","ulitag","ulitag","ama","fkit","fkit","fkit","fkit","ina"
"ISNAG",,"isna1241","","",0,,,,,,1,"ulitag","ulitag","ulitag","ulitag","ama","fkit","fkit","fkit","fkit","ina"
"IBANAG",,"iban1267","","",0,,,,,,1,"ulitag; tiyu","ulitag; tiyu","ulitag; tiyu","ulitag; tiyu","ama","iki; tiya","iki; tiya","iki; tiya","iki; tiya","inno"
"GADDANG",,"gada1258","","",0,,,,,,1,"ulitág","ulitág","ulitág","ulitág","ama","ikit; titti","ikit; titti","ikit; titti","ikit; titti","ina"
"AGTA",,"cent2084","xd908","B14",0,,,,,,1,"úte","úte","úte","úte","dama-","masina","masina","masina","masina","hina-"
"ILOKANO",,"ilok1237","","",0,,,,,,1,"uliteg; amanubing","uliteg; amanubing","uliteg; amanubing","uliteg; amanubing","ama; pangamaen; tata; tatang; amang","ikit; nanaubing; tia; tang","ikit; nanaubing; tia; tang","ikit; nanaubing; tia; tang","ikit; nanaubing; tia; tang","ina; nanag"
"PANGASINAN",,"pang1290","","",0,,,,,,1,"pangamaen","pangamaen","pangamaen","pangamaen","ama","panginaen","panginaen","panginaen","panginaen","ina"
"IBALOI",,"ibal1244","","",0,,,,,,1,"pang-ama-an","pang-ama-an","pang-ama-an","pang-ama-an","ama","pang-ina-an","pang-ina-an","pang-ina-an","pang-ina-an","ina"
"INIBALOI",,"ibal1244","","",0,,,,,,1,"pang-ama-an","pang-ama-an","pang-ama-an","pang-ama-an","ama","pang-ina-an","pang-ina-an","pang-ina-an","pang-ina-an","ina"
"KALLAHAN_KAYAPA_PROPER",,"ahin1234","","",0,,,,,,1,"pangama'en","pangama'en","pangama'en","pangama'en","ama","pangina'en","pangina'en","pangina'en","pangina'en","ina"
"BALANGAW",,"bala1310","","",0,,,,,,1,"oleték","oleték","oleték","oleték","ama","iket","iket","iket","iket","ina"
"KANKANAEY",,"kank1243","","",0,,,,,,1,"alitao","alitao","alitao","alitao","ama","ikit","ikit","ikit","ikit","ina"
"KANKANAY_NORTHERN",,"nort2877","xd742","Ia2",1,12,5,15,9,3,1,,,,,"ama",,,,,"ina"
"ITNEG_BINONGAN",,"bino1237","","",0,,,,,,1,"uliteg","uliteg","uliteg","uliteg","ama","ikit","ikit","ikit","ikit","ina"
"KALINGA_GUINAANG",,"lubu1243","xd739","Ia16",1,12,5,15,9,3,1,"uilitog un leyaki","uilitog un leyaki","uilitog un leyaki","uilitog un leyaki","ama","uilitog un bebyai","uilitog un bebyai","uilitog un bebyai","uilitog un bebyai","ila"
"UMIRAY_DUMAGET_AGTA",,"umir1236","","",0,,,,,,1,"wawa","mama","wawa","mama","ama","indo; teti","nangnang","indo; teti","nangnang","ina"
"HANUNOO",,"hanu1241","xd745","Ia5",1,7,8,15,9,3,1,"bapa","bapa","bapa","bapa","amang","bayi","bayi","bayi","bayi","ináng"
"CENTRAL_TAGBANWA",,"cent2090","","",0,,,,,,1,"amiy","amiy","amiy","amiy","ama","iniy","iniy","iniy","iniy","ina"
"PALAWANO_BATAK",,"broo1239","","",0,,,,,,1,,,,,"ama'",,,,,"indo'"
"BROOKES_POINT_PALAWAN",,"broo1239","","",0,,,,,,1,,,,,"ama'",,,,,"indo'"
"MARANAO",,"mara1404","","",0,,,,,,1,"bapa","bapa","bapa","bapa","ama","babu","babu","babu","babu","ina"
"MAGUINDANAO",,"magu1243","","",0,,,,,,1,"bapa","bapa","bapa","bapa","ama; bapa","babu","babu","babu","babu","ina"
"MORO_MAGINDANAU",,"magu1243","","",0,,,,,,1,"bapa","bapa","bapa","bapa","ama; bapa","babu","babu","babu","babu","ina"
"BINUKID",,"binu1244","","",0,,,,,,1,"abang","abang","abang","abang","amay","idang","idang","idang","idang","inay"
"MANOBO_KALAMANSIG_COTABATO",,"cota1241","","",0,,,,,,1,"momò","momò","momò","momò","emà","inà","inà","inà","inà","inay"
"MANOBO_WESTERN_BUKIDNON",,"west2555","","",0,,,,,,1,"anggam","anggam","anggam","anggam","amey","aya'","aya'","aya'","aya'","iney"
"SUBANUN_SINDANGAN",,"cent2089","xd744","Ia4",1,10,1,15,9,4,1,"g-aya","g-aya","manak","manak","g-ama",,,,,"g-ina"
"MARINDUQUE_TAGALOG",,"taga1270","","",0,,,,,,1,"ama-in","ama-in","ama-in","ama-in","ama","ali","ali","ali","ali",
"TAGALOG",,"taga1270","","",0,,,,,,1,"ama-in","ama-in","ama-in","ama-in","ama","ali","ali","ali","ali",
"CEBUANO",,"cebu1242","xd735","Ia12",1,8,7,15,9,3,1,"uyuan","uyuan","uyuan","uyuan","úyung; amahan; irpat; itay","anti","anti","anti","anti","anay"
"TAUSUG",,"taus1251","","",0,,,,,,1,"bapa'; amaun","bapa'; amaun","bapa'; amaun","bapa'; amaun","ama; ama'","babu; ina-han; bapu'; inaun","babu; ina-han; bapu'; inaun","babu; ina-han; bapu'; inaun","babu; ina-han; bapu'; inaun","ina; ina'"
"AKLANON",,"akla1241","xd741","Ia18",1,7,8,15,9,4,1,"táta; títo; tíyo","táta; títo; tíyo","táta; títo; tíyo","táta; títo; tíyo","amá; tátay","óra; títa; tíya","óra; títa; tíya","óra; títa; tíya","óra; títa; tíya","iná; mamá; nánay"
"HILIGAYNON",,"hili1240","","",0,,,,,,1,"tiyo","tiyo","tiyo","tiyo","amay","tiya","tiya","tiya","tiya","iloy"
"TOBA_BATAK",,"bata1289","xd753","Ib4",1,6,4,5,2,7,1,"tulang","tulang","among tua","amonguda","among","inangtua","inangbaju; inanguda","namboru","namboru","inang"
"GAYO",,"gayo1244","","",0,,,,,,1,"pôn","pôn","ama","ama","ama","ibi; ue","ibi; ue","ine","ine","ine"
"MALANG",,"java1254","xd751","Ib2, SCCS83",1,13,2,15,9,3,1,"pakdhé; bapak gedhé; siwa lanang","paklik; bapak cilik","pakdhé; bapak gedhé; siwa lanang","paklik; bapak cilik","bapak; råmå; båpå","budhé; ibu gedhé; makdhé; emak gedhé","bulik; ibu cilik","budhé; ibu gedhé; makdhé; emak gedhé","bulik; ibu cilik","ibu; biyung; simbôk; emak; sibu"
"YOGYAKARTA",,"java1254","xd751","Ib2, SCCS83",1,13,2,15,9,3,1,"pakdhé; bapak gedhé; siwa lanang","paklik; bapak cilik","pakdhé; bapak gedhé; siwa lanang","paklik; bapak cilik","bapak; råmå; båpå","budhé; ibu gedhé; makdhé; emak gedhé","bulik; ibu cilik","budhé; ibu gedhé; makdhé; emak gedhé","bulik; ibu cilik","ibu; biyung; simbôk; emak; sibu"
"MADURESE",,"nucl1460","","",0,,,,,,1,"obe'","majedi'","obe'","majedi'","eppa'","obe'","majedi'","obe'","majedi'","embu"
"SUNDANESE",,"sund1252","","",0,,,,,,1,"ua","emang","ua","emang","abah","ua","embi; bibi","ua","embi; bibi","emak"
"BALI",,"bali1278","xd752","Ib3, SCCS84",1,10,1,7,4,4,1,"nanang","rerama","nanang","rerama","rerama","meme","bibi","meme","bibi","bibi"
"ACEH",,"achi1257","","",0,,,,,,1,"ayah tuha; ayah teungoh","ayah cut","ayah tuha; ayah teungoh","ayah cut","ayah","nya'tuha; nya'teungoh","nya'cut","nya'tuha; nya'teungoh","nya'cut","bunda"
"RADE",,"rade1240","xd717","Ej10, SCCS74",1,1,3,15,9,1,1,"awa êkei","amiêt êkei","aprǒng êkei","mneh","ama","aprǒng; aprǒng mniê","aneh; neh",,,"amǐ"
"MINANGKABAU",,"mina1268","xd755","Ib6",1,1,3,1,1,4,1,"mamak","mamak",,,"bapak",,,,,"mandai"
"URAK_LAWOI",,"urak1238","","",0,,,,,,1,"wa","ma","wa","ma","paq; apok","wa","may","wa","may","maq; a.ëq; ët"
"PALEMBANG_MALAY",,"mala1479","xd730","Ej8",1,10,1,15,9,4,1,"bapak penakan","bapak penakan","bapak penakan","bapak penakan","bapak","emak penakan","emak penakan","emak penakan","emak penakan","emak"
"MALAY",,"mala1479","xd730","Ej8",1,10,1,15,9,4,1,"bapak penakan","bapak penakan","bapak penakan","bapak penakan","bapak","emak penakan","emak penakan","emak penakan","emak penakan","emak"
"BANJARESE_MALAY",,"banj1239","","",0,,,,,,1,"dangsanak uma","dangsanak uma","dangsanak abah","dangsanak abah","abah","dangsanak uma","dangsanak uma","dangsanak abah","dangsanak abah","uma"
"IBAN",,"iban1264","xd750","Ib1, SCCS85",1,10,1,15,9,3,1,"aya","aya","aya","aya","apai","ibo","ibo","ibo","ibo","indai"
"INDONESIAN_2",,"indo1316","","",0,,,,,,1,"paman","paman","paman","paman","babak","bibi","bibi","bibi","bibi","ibu"
"INDONESIAN",,"indo1316","","",0,,,,,,1,"paman","paman","paman","paman","babak","bibi","bibi","bibi","bibi","ibu"
"INDONESIAN_JAKARTA",,"indo1316","","",0,,,,,,1,"paman","paman","paman","paman","babak","bibi","bibi","bibi","bibi","ibu"
"BEKATI",,"beka1241","","",0,,,,,,1,"toak","toak","toak","toak","amak; mak","toak","toak","toak","toak","induk; innuk; nuk"
"REJANG",,"reja1240","","",0,,,,,,1,"wa'; uwak",,"wa'; uwak",,"tia'; bapak; ajah","wa'; uwak",,"wa'; uwak",,"indo'; ibu; induk; emak; beé'"
"BIDAYUH_BAU",,"baub1235","","",0,,,,,,1,"somba","tua dari","somba","tua dari",,"noyung","tua daying","noyung","tua daying",
"SINGHI",,"baub1235","","",0,,,,,,1,"somba","tua dari","somba","tua dari",,"noyung","tua daying","noyung","tua daying",
"IDAAN",,"idaa1241","","",0,,,,,,1,"kamman","kamman","kamman","kamman","ama'","minan","minan","minan","minan","ina'"
"BUKAT",,"buka1261","","",0,,,,,,1,"aki","aki","aki","aki","amak","ipui","ipui","ipui","ipui","inak"
"MUKAH_MELANAU",,"cent2101","","",0,,,,,,1,"tua","tua","tua","tua","tama; amam; mam","tebuso","tebuso","tebuso","tebuso","tina; ina"
"KIPUT",,"kipu1237","","",0,,,,,,1,"kemamaan","kemamaan","kemamaan","kemamaan","tameh","keminaan","keminaan","keminaan","keminaan","tineh"
"YAKAN",,"yaka1277","","",0,,,,,,1,"si'it; apa","si'it; apa","si'it; galabat; apa","si'it; galabat; apa","amma; sama","si'it","si'it","si'it","si'it","ina'; sa'i"
"SAMAL",,"cent2092","","",0,,,,,,1,"bapa'","bapa'","bapa'","bapa'","ama'","babu'","babu'","babu'","babu'","ina'"
"BAJAU_WEST_COAST",,"west2560","","",0,,,,,,1,"pa'","pa'","pa'","pa'","emma'","bu'","bu'","bu'","bu'","iyang"
"LUWUK_BAJAU",,"indo1317","","",0,,,,,,1,"puah","puto","puah","ua diki; ?puto","lolo; ua","emma basar; pua","aya; ?emma diki","puah","aya","emma"
"INDONESIAN_BAJAU",,"indo1317","","",0,,,,,,1,"puah","puto","puah","ua diki; ?puto","lolo; ua","emma basar; pua","aya; ?emma diki","puah","aya","emma"
"LEMO_BAJAU",,"indo1317","","",0,,,,,,1,"puah","puto","puah","ua diki; ?puto","lolo; ua","emma basar; pua","aya; ?emma diki","puah","aya","emma"
"LAKARAMBA_BAJAU",,"indo1317","","",0,,,,,,1,"puah","puto","puah","ua diki; ?puto","lolo; ua","emma basar; pua","aya; ?emma diki","puah","aya","emma"
"KOLO_BAWAH_BAJAU",,"indo1317","","",0,,,,,,1,"puah","puto","puah","ua diki; ?puto","lolo; ua","emma basar; pua","aya; ?emma diki","puah","aya","emma"
