Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
832	0.316106	168	0.630952	1.847170	832	0.316106	0.369000	0.353595	
832	0.282452	168	0.577381	1.847170	832	0.282452	0.332000	0.353579	
824	0.294903	176	0.625000	1.847170	824	0.294903	0.353000	0.353578	
832	0.256010	168	0.678571	1.847170	832	0.256010	0.327000	0.353558	
849	0.248528	151	0.721854	1.847170	849	0.248528	0.320000	0.353533	
823	0.286756	177	0.553672	1.847170	823	0.286756	0.334000	0.353518	
835	0.299401	165	0.575758	1.847170	835	0.299401	0.345000	0.353512	
846	0.303783	154	0.655844	1.847170	846	0.303783	0.358000	0.353515	
846	0.321513	154	0.597403	1.847170	846	0.321513	0.364000	0.353523	
833	0.318127	167	0.622754	1.847170	833	0.318127	0.369000	0.353535	
818	0.305623	182	0.653846	1.847170	818	0.305623	0.369000	0.353546	
842	0.304038	158	0.670886	1.847170	842	0.304038	0.362000	0.353553	
829	0.260555	171	0.608187	1.847170	829	0.260555	0.320000	0.353527	
830	0.286747	170	0.629412	1.847170	830	0.286747	0.345000	0.353521	
844	0.329384	156	0.570513	1.847170	844	0.329384	0.367000	0.353531	
827	0.292624	173	0.612717	1.847170	827	0.292624	0.348000	0.353527	
839	0.307509	161	0.695652	1.847170	839	0.307509	0.370000	0.353539	
831	0.304452	169	0.585799	1.847170	831	0.304452	0.352000	0.353538	
807	0.309789	193	0.626943	1.847170	807	0.309789	0.371000	0.353551	
833	0.291717	167	0.604790	1.847170	833	0.291717	0.344000	0.353544	
817	0.305998	183	0.633880	1.847170	817	0.305998	0.366000	0.353553	
829	0.313631	171	0.654971	1.847170	829	0.313631	0.372000	0.353567	
829	0.272618	171	0.730994	1.847170	829	0.272618	0.351000	0.353565	
851	0.296122	149	0.684564	1.847170	851	0.296122	0.354000	0.353566	
853	0.298945	147	0.591837	1.847170	853	0.298945	0.342000	0.353557	
