"","ID","Glottocode","Parameter_ID","Form","speaker","mf","consonant","vowel","reduplication"
"146","v_chokwechok1245-mF-1","chok1245","mF","tata","m","F",NA,NA,NA
"147","v_chokwechok1245-mM-1","chok1245","mM","mama","m","M",NA,NA,NA
"148","v_digodigo1243-mF-1","digo1243","mF","baba","m","F",NA,NA,NA
"149","v_digodigo1243-mM-1","digo1243","mM","mayo","m","M",NA,NA,NA
"150","v_dingding1239-mF-1","ding1239","mF","taata","m","F",NA,NA,NA
"151","v_dingding1239-mM-1","ding1239","mM","maama","m","M",NA,NA,NA
"152","v_dingding1239-mF-2","ding1239","mF","taa","m","F",NA,NA,NA
"153","v_dingding1239-mM-2","ding1239","mM","maa","m","M",NA,NA,NA
"154","v_dingding1239-mM-3","ding1239","mM","ŋƔwa","m","M",NA,NA,NA
"155","v_dingding1239-mM-4","ding1239","mM","ŋgwen","m","M",NA,NA,NA
"156","v_dualadual1243-mF-1","dual1243","mF","tetℇ","m","F",NA,NA,NA
"157","v_dualadual1243-mM-1","dual1243","mM","nyango","m","M",NA,NA,NA
"158","v_dualadual1243-mF-2","dual1243","mF","sángó","m","F",NA,NA,NA
"159","v_dualadual1243-mM-2","dual1243","mM","ńongo","m","M",NA,NA,NA
"160","v_dumaduma1253-mF-1","duma1253","mF","tata","m","F",NA,NA,NA
"161","v_dumaduma1253-mM-1","duma1253","mM","ngu","m","M",NA,NA,NA
"162","v_ekondamongoekon1238-mF-1","ekon1238","mF","fafa","m","F",NA,NA,NA
"163","v_ekondamongoekon1238-mM-1","ekon1238","mM","nyango","m","M",NA,NA,NA
"164","v_fangegfang1246-mF-1","fang1246","mF","tare","m","F",NA,NA,NA
"165","v_fangegfang1246-mM-1","fang1246","mM","nya","m","M",NA,NA,NA
"166","v_fefefefe1239-mF-1","fefe1239","mF","mbega","m","F",NA,NA,NA
"167","v_fefefefe1239-mF-2","fefe1239","mF","papaga","m","F",NA,NA,NA
"168","v_fefefefe1239-mM-1","fefe1239","mM","owa","m","M",NA,NA,NA
"169","v_fefefefe1239-mF-3","fefe1239","mF","tá","m","F",NA,NA,NA
"170","v_fefefefe1239-mF-4","fefe1239","mF","tálà","m","F",NA,NA,NA
"171","v_fefefefe1239-mM-2","fefe1239","mM","mɔ̀","m","M",NA,NA,NA
"172","v_fefefefe1239-mM-3","fefe1239","mM","pámɔ̀","m","M",NA,NA,NA
"173","v_fefefefe1239-mF-5","fefe1239","mF","tá","m","F",NA,NA,NA
"174","v_fefefefe1239-mM-4","fefe1239","mM","mànə̄̀ŋ","m","M",NA,NA,NA
"175","v_fefefefe1239-mM-5","fefe1239","mM","má","m","M",NA,NA,NA
"176","v_fefefefe1239-mF-6","fefe1239","mF","mbà","m","F",NA,NA,NA
"177","v_fefefefe1239-mM-6","fefe1239","mM","mà","m","M",NA,NA,NA
"178","v_fefefefe1239-mF-7","fefe1239","mF","tšâš","m","F",NA,NA,NA
"179","v_fefefefe1239-mF-8","fefe1239","mF","tšât","m","F",NA,NA,NA
"180","v_fefefefe1239-mM-7","fefe1239","mM","mšàšmu","m","M",NA,NA,NA
"181","v_fipafipa1238-mF-1","fipa1238","mF","ïtaata","m","F",NA,NA,NA
"182","v_fipafipa1238-mM-1","fipa1238","mM","ïmaangu","m","M",NA,NA,NA
"183","v_gandagand1255-mF-1","gand1255","mF","kitange","m","F",NA,NA,NA
"184","v_gandagand1255-mM-1","gand1255","mM","mmange","m","M",NA,NA,NA
"185","v_giryamagiry1241-mF-1","giry1241","mF","baba","m","F",NA,NA,NA
"186","v_giryamagiry1241-mM-1","giry1241","mM","hmama","m","M",NA,NA,NA
"187","v_gogogogo1263-mF-1","gogo1263","mF","soga","m","F",NA,NA,NA
"188","v_gogogogo1263-mM-1","gogo1263","mM","yaya","m","M",NA,NA,NA
"189","v_gusiigusi1247-mF-1","gusi1247","mF","taata","m","F",NA,NA,NA
"190","v_gusiigusi1247-mM-1","gusi1247","mM","baabá","m","M",NA,NA,NA
"191","v_hahaaa1252-mF-1","haaa1252","mF","data","m","F",NA,NA,NA
"192","v_hahaaa1252-mM-1","haaa1252","mM","mama","m","M",NA,NA,NA
"193","v_hahaaa1252-mF-2","haaa1252","mF","data","m","F",NA,NA,NA
"194","v_hayahaya1250-mF-1","haya1250","mF","tâ:ta","m","F",NA,NA,NA
"195","v_hayahaya1250-mM-1","haya1250","mM","mâ:we","m","M",NA,NA,NA
"196","v_hehehehe1240-mF-1","hehe1240","mF","dada","m","F",NA,NA,NA
"197","v_hehehehe1240-mM-1","hehe1240","mM","yuva","m","M",NA,NA,NA
"198","v_hererohere1253-mF-1","here1253","mF","tate","m","F",NA,NA,NA
"199","v_hererohere1253-mM-1","here1253","mM","mama","m","M",NA,NA,NA
"200","v_hererohere1253-mF-2","here1253","mF","tate","m","F",NA,NA,NA
"201","v_hererohere1253-mM-2","here1253","mM","mama","m","M",NA,NA,NA
"202","v_igbonucl1417-mF-1","nucl1417","mF","nna","m","F",NA,NA,NA
"203","v_igbonucl1417-mM-1","nucl1417","mM","nnɛ","m","M",NA,NA,NA
"204","v_igbonucl1417-mF-2","nucl1417","mF","nnà","m","F",NA,NA,NA
"205","v_igbonucl1417-mM-2","nucl1417","mM","nne","m","M",NA,NA,NA
"206","v_kagulukagu1239-mF-1","kagu1239","mF","baba","m","F",NA,NA,NA
"207","v_kagulukagu1239-mM-1","kagu1239","mM","mai","m","M",NA,NA,NA
"208","v_kambakamb1297-mM-1","kamb1297","mM","mwaitu","m","M",NA,NA,NA
"209","v_kambakamb1297-mF-1","kamb1297","mF","nau","m","F",NA,NA,NA
"210","v_kambakamb1297-mM-2","kamb1297","mM","maiitu","m","M",NA,NA,NA
"211","v_kambakamb1297-mM-3","kamb1297","mM","mwaitu","m","M",NA,NA,NA
"212","v_kaondekaon1241-mF-1","kaon1241","mF","tata","m","F",NA,NA,NA
"213","v_kaondekaon1241-mM-1","kaon1241","mM","mama","m","M",NA,NA,NA
"214","v_kerewekere1283-mF-1","kere1283","mF","táta","m","F",NA,NA,NA
"215","v_kerewekere1283-mM-1","kere1283","mM","mááwe","m","M",NA,NA,NA
"216","v_kikuyukiku1240-mF-1","kiku1240","mF","baba","m","F",NA,NA,NA
"217","v_kikuyukiku1240-mM-1","kiku1240","mM","maiitu","m","M",NA,NA,NA
"218","v_komkomc1235-mF-1","komc1235","mF","bæ̀","m","F",NA,NA,NA
"219","v_komkomc1235-mM-1","komc1235","mM","nà wà yn","m","M",NA,NA,NA
"220","v_komkomc1235-mM-2","komc1235","mM","nì ni","m","M",NA,NA,NA
"221","v_komkomc1235-mF-2","komc1235","mF","bò","m","F",NA,NA,NA
"222","v_komkomc1235-mM-3","komc1235","mM","nà","m","M",NA,NA,NA
"223","v_komodrckomo1260-mF-1","komo1260","mF","ape","m","F",NA,NA,NA
"224","v_komodrckomo1260-mM-1","komo1260","mM","adi","m","M",NA,NA,NA
"225","v_komodrckomo1260-mF-2","komo1260","mF","abhe","m","F",NA,NA,NA
"226","v_komodrckomo1260-mM-2","komo1260","mM","ayi","m","M",NA,NA,NA
"227","v_kotakota1274-mF-1","kota1274","mF","hangwè","m","F",NA,NA,NA
"228","v_kotakota1274-mM-1","kota1274","mM","nyangwè","m","M",NA,NA,NA
"229","v_kwasiokwas1243-mF-1","kwas1243","mF","song","m","F",NA,NA,NA
"230","v_kwasiokwas1243-mM-1","kwas1243","mM","ñiung","m","M",NA,NA,NA
"231","v_kwerekwer1261-mF-1","kwer1261","mF","tata","m","F",NA,NA,NA
"232","v_kwerekwer1261-mM-1","kwer1261","mM","mama","m","M",NA,NA,NA
"233","v_kelekele1257-mF-1","kele1257","mF","shangwè","m","F",NA,NA,NA
"234","v_kelekele1257-mM-1","kele1257","mM","nyangwè","m","M",NA,NA,NA
