"taxon","glottocode","xd_ids","soc_ids","ea_id","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mF","mFeB","mFyB","mMeB","mMyB","mWF","mM","mFeZ","mFyZ","mMeZ","mMyZ","mWM"
"C36d_Lingala","ling1263","xd147","Ae28","Ae28",1,,,,,,1,"tatå; sango","tata-kulutu","tata-leki","tatá mokóló; noko","tatá mokóló; noko","bokilo","mamå","tata-muasi","tata-muasi","mama-kulutu","mama-leki","bokilo"
"C37_Ebudza","budz1238","xd157","Ae37","Ae37",1,,,,,,1,"sango",,,,,"sango o moli o mbåi","nango",,,,,"sango o moli o mbåi"
"C41_Ngombe","binj1250","xd159","Ae39","Ae39",1,7,8,15,9,8,1,,,,"kiva","kiva","moyata",,"woto","woto",,,"moyata"
"C61_Mongo","mong1338","xd143, xd160","Ae24, Ae4, SCCS14","Ae24",0,,,,,1,1,"ise; fafa; tata","ise; tantinkune","tat'inkune","nyangompame","nyangompame","bokilo","ngoya; nyango","isomoto; faomoto","isomoto; faomoto","nyango","mam'inkune","bokilo"
"C61E_Konda","ekon1238","xd139","Ae20","Ae20",1,7,8,15,9,,1,"fafa","ise","ise","nyangobika","nyangobika","bokilo","nyango","isomoto","isomoto","nyango","nyango","bokilo"
"C71_Tetela","tete1250","xd144","Ae25","Ae25",1,8,7,15,9,,1,"papa","papa; shomikadi","papa; shomikadi","papa; nyangupami","papa; nyangupami","ukilu","mama","nyengesukadi","nyengesukadi","nyangukadi","nyangukadi","ukilu"
"C83_Bushong","bush1247","xd66","Ac4","Ac4",1,7,8,15,9,4,1,"tata","tata ilenga; ngola muota","tata ilenga; ngola muota","manumi; baba","manumi; baba","boy","mai","tangata; fatata","tangata; fatata","mai ilenga; mai ngola muota; yaya","mai ilenga; mai ngola muota; yaya","boy"
"D21_Baali","bali1274","xd153","Ae33","Ae33",1,,,,,,1,"yabà","bogà","bogà",,,,"yamá",,,,,
"D23_Kibira-Kumu_1919","komo1260","xd152","Ae32","Ae32",1,,,,,,1,"ape; abhe","phuméape; phuméape","motwape","noko; noko","noko; noko","nyamoto; nyamoto","adi; ayi","koa","koa","phuméadi; phuméadi","motwadi","nyamoto; nyamoto"
"D24_Songola","song1300","xd129","Ae11","Ae11",1,7,8,15,9,4,1,"asa","asa moto","asa moto","munso","munso","isi","ngu","ngu","ngu","ngu","ngu","mukilu"
"D311_Bila","bila1255","xd150","Ae30","Ae30",1,,,,,,1,"èpá","moteba","omeba","noko","noko","tata","êmá","alwa'e na epa","moto e na epa","om-ema","mot-ema","tata"
"D32_Bira","bera1259","xd154","Ae34","Ae34",1,,,,,,1,"mîkí","om-epa","mot-epa","yàyá; noko","yàyá; noko","tata","bàhá","kola","kola","om-ema","mot-ema","tata"
"D32_Bira_Bunia","bera1259","","",,1,,,,,,1,"mîkí","om-epa","mot-epa","yàyá; noko","yàyá; noko","tata","bàhá","kola","kola","om-ema","mot-ema","tata"
"E46_Sonjo","temi1247","xd108","Ad39","Ad39",1,8,7,15,9,,1,"aja; baba",,,"ma:ma","ma:ma","baba wa basoni","ma","mnyina-ma; mteregwe","mnyina-ma; mteregwe",,,"ma wa basoni"
